file,class,method,variable,usage
C:\Users\User\Downloads\spring-batch-main\spring-batch-infrastructure\src\test\java\org\springframework\batch\item\file\SimpleResourceSuffixCreatorTests.java,org.springframework.batch.item.file.SimpleResourceSuffixCreatorTests,testGetSuffix/0,tested,3
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",jobFactoryRef,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,"parse/2[org.w3c.dom.Element,org.springframework.batch.core.configuration.xml.ParserContext]",PARENT_ATTR,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\main\java\org\springframework\batch\core\configuration\xml\SplitParser.java,org.springframework.batch.core.configuration.xml.SplitParser,SplitParser/1[java.lang.String],jobFactoryRef,4
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testGetVersion/0,entity,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsSelf/0,entity,2
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testIncrementVersion/0,entity,2
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntityWithNullId/0,entity,2
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntityWrongId/0,entity,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsEntity/0,entity,2
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsNull/0,entity,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsObject/0,entity,1
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testHashCode/0,entity,2
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testIncrementVersionTwice/0,entity,3
C:\Users\User\Downloads\spring-batch-main\spring-batch-core\src\test\java\org\springframework\batch\core\EntityTests.java,org.springframework.batch.core.EntityTests,testEqualsSelfWithNullId/0,entity,3
