file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\summaryrow\SummaryRowHandler.java,org.primefaces.component.summaryrow.SummaryRowHandler,class,5,5,0,5,2,2,0,3,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,1,0,1,0,0,1,0,0,11,1,0,0,0,0,1,0,2,0,2,0,0,0,0,21,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\validate\bean\NotEmptyClientValidationConstraint.java,org.primefaces.validate.bean.NotEmptyClientValidationConstraint,class,1,2,1,1,2,2,0,3,1,0.625,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,4,4,0,0,0,4,0,2,12,1,0,0,0,0,4,0,4,0,4,0,0,0,0,25,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\visit\ResetInputVisitCallback.java,org.primefaces.visit.ResetInputVisitCallback,class,7,8,1,7,6,1,0,5,0,0.6666667,1.0,1.0,3,0,3,0,0,0,3,0,0,0,3,2,2,1,0,0,3,0,0,24,1,0,1,0,0,1,0,6,0,5,3,0,0,0,34,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-integration-tests\src\test\java\org\primefaces\integrationtests\confirmdialog\ConfirmDialog002Test.java,org.primefaces.integrationtests.confirmdialog.ConfirmDialog002Test$Page,innerclass,5,5,0,5,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,4,0,0,0,9,1,0,0,0,0,5,0,0,0,4,0,0,0,0,15,9,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\inputtext\InputText.java,org.primefaces.component.inputtext.InputText,class,2,3,1,2,0,4,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,10,0,2,0,2,0,0,0,0,22,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,class,4,4,0,4,4,2,0,0,0,0.5833333,0.6666667,1.0,4,0,4,0,0,0,4,0,0,0,3,1,0,3,0,0,1,0,0,20,2,0,0,0,0,0,1,4,0,3,0,0,0,0,22,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\util\CompositeUtils.java,org.primefaces.util.CompositeUtils,class,7,8,1,7,10,1,0,11,3,0.0,0.0,0.0,3,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,41,2,1,2,0,0,4,3,6,2,6,4,1,0,0,44,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-integration-tests\src\main\java\org\primefaces\integrationtests\confirmdialog\ConfirmDialog001.java,org.primefaces.integrationtests.confirmdialog.ConfirmDialog001,class,5,6,1,5,3,1,0,2,3,1.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,1,0,1,0,0,1,0,1,12,0,0,0,0,0,4,1,1,0,1,0,0,0,0,16,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\keyboard\Keyboard.java,org.primefaces.component.keyboard.Keyboard,class,2,3,1,2,0,4,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,14,0,2,0,2,0,0,0,0,22,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-integration-tests\src\test\java\org\primefaces\integrationtests\datatable\DataTable022Test.java,org.primefaces.integrationtests.datatable.DataTable022Test$Page,innerclass,3,3,0,3,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,2,0,0,0,1,0,0,0,0,9,9,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\fileupload\ContentRange.java,org.primefaces.component.fileupload.ContentRange,class,1,3,2,1,9,1,0,6,11,0.7380953,0.0,0.0,7,1,6,1,0,0,6,0,1,0,6,1,0,6,0,0,1,0,4,37,6,0,1,0,0,2,4,7,3,7,1,0,0,0,36,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\graphicimage\GraphicImageBase.java,org.primefaces.component.graphicimage.GraphicImageBase$PropertyKeys,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\data\PostFilterEvent.java,org.primefaces.event.data.PostFilterEvent,class,2,3,1,2,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,13,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleCloseEvent.java,org.primefaces.event.ToggleCloseEvent,class,3,3,0,3,2,2,0,0,0,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,2,1,0,2,0,0,1,0,0,11,1,0,0,0,0,0,1,2,0,2,0,0,0,0,21,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces-selenium\primefaces-selenium-components\src\main\java\org\primefaces\selenium\component\Spinner.java,org.primefaces.selenium.component.Spinner,class,7,17,10,7,8,5,0,5,21,0.85714287,0.0,0.0,7,0,7,0,0,0,7,0,0,0,3,0,0,3,0,0,0,0,4,29,3,0,1,0,0,9,0,1,4,3,1,0,0,0,43,1025,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\notificationbar\NotificationBar.java,org.primefaces.component.notificationbar.NotificationBar,class,2,3,1,2,0,3,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,10,0,2,0,2,0,0,0,0,19,1,0
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\resetinput\ResetInputActionListener.java,org.primefaces.component.resetinput.ResetInputActionListener,class,8,9,1,8,7,1,0,12,1,0.5555556,0.33333334,0.33333334,3,0,3,0,0,0,3,0,0,0,3,1,0,3,0,0,1,0,1,27,0,1,1,0,0,0,2,13,0,12,1,0,0,0,41,1,0
