file,class,method,variable,usage
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\summaryrow\SummaryRowHandler.java,org.primefaces.component.summaryrow.SummaryRowHandler,createMetaRuleset/1[java.lang.Class],LISTENER,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\validate\bean\NotEmptyClientValidationConstraint.java,org.primefaces.validate.bean.NotEmptyClientValidationConstraint,NotEmptyClientValidationConstraint/0,MESSAGE_METADATA,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\validate\bean\NotEmptyClientValidationConstraint.java,org.primefaces.validate.bean.NotEmptyClientValidationConstraint,NotEmptyClientValidationConstraint/0,MESSAGE_ID,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\validate\bean\NotEmptyClientValidationConstraint.java,org.primefaces.validate.bean.NotEmptyClientValidationConstraint,getValidatorId/0,CONSTRAINT_ID,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\visit\ResetInputVisitCallback.java,org.primefaces.visit.ResetInputVisitCallback,ResetInputVisitCallback/0,clearModel,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\visit\ResetInputVisitCallback.java,org.primefaces.visit.ResetInputVisitCallback,"visit/2[org.primefaces.visit.VisitContext,org.primefaces.visit.UIComponent]",clearModel,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\visit\ResetInputVisitCallback.java,org.primefaces.visit.ResetInputVisitCallback,ResetInputVisitCallback/1[boolean],clearModel,3
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,getVisibility/0,visibility,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,"ToggleEvent/4[org.primefaces.event.UIComponent,org.primefaces.event.Behavior,org.primefaces.model.Visibility,java.lang.Object]",visibility,3
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,"ToggleEvent/4[org.primefaces.event.UIComponent,org.primefaces.event.Behavior,org.primefaces.model.Visibility,java.lang.Object]",data,3
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,"ToggleEvent/3[org.primefaces.event.UIComponent,org.primefaces.event.Behavior,org.primefaces.model.Visibility]",visibility,3
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\event\ToggleEvent.java,org.primefaces.event.ToggleEvent,getData/0,data,1
C:\Users\User\Desktop\OOD\primefaces-master\primefaces\src\main\java\org\primefaces\component\fileupload\ContentRange.java,org.primefaces.component.fileupload.ContentRange,getChunkRangeBegin/0,chunkRangeBegin,1
